Movie_ID,Person,Role
tt0363771,Tilda Swinton,star
tt0363771,Georgie Henley,star
tt0363771,William Moseley,star
tt0770828,Zack Snyder,director
tt0770828,David S. Goyer,writer
tt0770828,David S. Goyer,writer
tt0770828,Henry Cavill,star
tt0770828,Amy Adams,star
tt0770828,Michael Shannon,star
tt0330373,Mike Newell,director
tt0330373,Steve Kloves,writer
tt0330373,J.K. Rowling,writer
tt0330373,Daniel Radcliffe,star
tt0330373,Emma Watson,star
tt0330373,Rupert Grint,star
tt0198781,Pete Docter,director
tt0198781,David Silverman,director
tt0198781,Pete Docter,writer
tt0198781,Jill Culton,writer
tt0198781,Billy Crystal,star
tt0198781,John Goodman,star
tt0198781,Mary Gibbs,star
tt1951266,Francis Lawrence,director
tt1951266,Peter Craig,writer
tt1951266,Danny Strong,writer
tt1951266,Jennifer Lawrence,star
tt1951266,Josh Hutcherson,star
tt1951266,Liam Hemsworth,star
tt0234215,Lana Wachowski,director
tt0234215,Lilly Wachowski,director
tt0234215,Lilly Wachowski,writer
tt0234215,Lana Wachowski,writer
tt0234215,Keanu Reeves,star
tt0234215,Laurence Fishburne,star
tt0234215,Carrie-Anne Moss,star
tt1324999,Bill Condon,director
tt1324999,Melissa Rosenberg,writer
tt1324999,Stephenie Meyer,writer
tt1324999,Kristen Stewart,star
tt1324999,Robert Pattinson,star
tt1324999,Taylor Lautner,star
tt0290002,Jay Roach,director
tt0290002,Greg Glienna,writer
tt0290002,Mary Ruth Clarke,writer
tt0290002,Ben Stiller,star
tt0290002,Robert De Niro,star
tt0290002,Blythe Danner,star
tt1119646,Todd Phillips,director
tt1119646,Jon Lucas,writer
tt1119646,Scott Moore,writer
tt1119646,Zach Galifianakis,star
tt1119646,Bradley Cooper,star
tt1119646,Justin Bartha,star
tt1454468,Alfonso Cuarón,director
tt1454468,Alfonso Cuarón,writer
tt1454468,Jonás Cuarón,writer
tt1454468,Sandra Bullock,star
tt1454468,George Clooney,star
tt1454468,Ed Harris,star
tt2709692,Yarrow Cheney,director
tt2709692,Scott Mosier,director
tt2709692,Michael LeSieur,writer
tt2709692,Tommy Swerdlow,writer
tt2709692,Benedict Cumberbatch,star
tt2709692,Cameron Seely,star
tt2709692,Rashida Jones,star
tt3470600,Garth Jennings,director
tt3470600,Christophe Lourdelet,director
tt3470600,Garth Jennings,writer
tt3470600,Matthew McConaughey,star
tt3470600,Reese Witherspoon,star
tt3470600,Seth MacFarlane,star
tt1453405,Dan Scanlon,director
tt1453405,Dan Scanlon,writer
tt1453405,Daniel Gerson,writer
tt1453405,Billy Crystal,star
tt1453405,John Goodman,star
tt1453405,Steve Buscemi,star
tt0126029,Andrew Adamson,director
tt0126029,Vicky Jenson,director
tt0126029,William Steig,writer
tt0126029,Ted Elliott,writer
tt0126029,Mike Myers,star
tt0126029,Eddie Murphy,star
tt0126029,Cameron Diaz,star
tt3469046,Kyle Balda,director
tt3469046,Pierre Coffin,director
tt3469046,Cinco Paul,writer
tt3469046,Ken Daurio,writer
tt3469046,Steve Carell,star
tt3469046,Kristen Wiig,star
tt3469046,Trey Parker,star
tt0948470,Marc Webb,director
tt0948470,James Vanderbilt,writer
tt0948470,Alvin Sargent,writer
tt0948470,Andrew Garfield,star
tt0948470,Emma Stone,star
tt0948470,Rhys Ifans,star
tt0295297,Chris Columbus,director
tt0295297,J.K. Rowling,writer
tt0295297,Steve Kloves,writer
tt0295297,Daniel Radcliffe,star
tt0295297,Rupert Grint,star
tt0295297,Emma Watson,star
tt0317705,Brad Bird,director
tt0317705,Brad Bird,writer
tt0317705,Craig T. Nelson,star
tt0317705,Samuel L. Jackson,star
tt0317705,Holly Hunter,star
tt0170016,Ron Howard,director
tt0170016,Dr. Seuss,writer
tt0170016,Jeffrey Price,writer
tt0170016,Jim Carrey,star
tt0170016,Taylor Momsen,star
tt0170016,Kelley,star
tt1843866,Anthony Russo,director
tt1843866,Joe Russo,director
tt1843866,Christopher Markus,writer
tt1843866,Stephen McFeely,writer
tt1843866,Chris Evans,star
tt1843866,Samuel L. Jackson,star
tt1843866,Scarlett Johansson,star
tt1170358,Peter Jackson,director
tt1170358,Fran Walsh,writer
tt1170358,Philippa Boyens,writer
tt1170358,Ian McKellen,star
tt1170358,Martin Freeman,star
tt1170358,Richard Armitage,star
tt1490017,Phil Lord,director
tt1490017,Christopher Miller,director
tt1490017,Phil Lord,writer
tt1490017,Christopher Miller,writer
tt1490017,Chris Pratt,star
tt1490017,Will Ferrell,star
tt1490017,Elizabeth Banks,star
tt0796366,J.J. Abrams,director
tt0796366,Roberto Orci,writer
tt0796366,Alex Kurtzman,writer
tt0796366,Chris Pine,star
tt0796366,Zachary Quinto,star
tt0796366,Simon Pegg,star
tt0480249,Francis Lawrence,director
tt0480249,Mark Protosevich,writer
tt0480249,Akiva Goldsman,writer
tt0480249,Will Smith,star
tt0480249,Alice Braga,star
tt0480249,Charlie Tahan,star
tt0878804,John Lee Hancock,director
tt0878804,John Lee Hancock,writer
tt0878804,Michael Lewis,writer
tt0878804,Quinton Aaron,star
tt0878804,Sandra Bullock,star
tt0878804,Tim McGraw,star
tt2310332,Peter Jackson,director
tt2310332,Fran Walsh,writer
tt2310332,Philippa Boyens,writer
tt2310332,Ian McKellen,star
tt2310332,Martin Freeman,star
tt2310332,Richard Armitage,star
tt1411697,Todd Phillips,director
tt1411697,Craig Mazin,writer
tt1411697,Scot Armstrong,writer
tt1411697,Bradley Cooper,star
tt1411697,Zach Galifianakis,star
tt1411697,Ed Helms,star
tt1323594,Pierre Coffin,director
tt1323594,Chris Renaud,director
tt1323594,Cinco Paul,writer
tt1323594,Ken Daurio,writer
tt1323594,Steve Carell,star
tt1323594,Jason Segel,star
tt1323594,Russell Brand,star
tt0477347,Shawn Levy,director
tt0477347,Robert Ben Garant,writer
tt0477347,Thomas Lennon,writer
tt0477347,Ben Stiller,star
tt0477347,Carla Gugino,star
tt0477347,Ricky Gervais,star
tt0304141,Alfonso Cuarón,director
tt0304141,J.K. Rowling,writer
tt0304141,Steve Kloves,writer
tt0304141,Daniel Radcliffe,star
tt0304141,Emma Watson,star
tt0304141,Rupert Grint,star
tt3521164,Ron Clements,director
tt3521164,John Musker,director
tt3521164,Jared Bush,writer
tt3521164,Ron Clements,writer
tt3521164,Auli'i Cravalho,star
tt3521164,Dwayne Johnson,star
tt3521164,Rachel House,star
tt2109248,Michael Bay,director
tt2109248,Ehren Kruger,writer
tt2109248,Mark Wahlberg,star
tt2109248,Nicola Peltz,star
tt2109248,Jack Reynor,star
tt0317219,John Lasseter,director
tt0317219,Joe Ranft,director
tt0317219,John Lasseter,writer
tt0317219,Joe Ranft,writer
tt0317219,Owen Wilson,star
tt0317219,Bonnie Hunt,star
tt0317219,Paul Newman,star
tt0315327,Tom Shadyac,director
tt0315327,Steve Koren,writer
tt0315327,Mark O'Keefe,writer
tt0315327,Jim Carrey,star
tt0315327,Jennifer Aniston,star
tt0315327,Morgan Freeman,star
tt0259446,Joel Zwick,director
tt0259446,Nia Vardalos,writer
tt0259446,Nia Vardalos,star
tt0259446,John Corbett,star
tt0259446,Michael Constantine,star
tt1587310,Robert Stromberg,director
tt1587310,Linda Woolverton,writer
tt1587310,Charles Perrault,writer
tt1587310,Angelina Jolie,star
tt1587310,Elle Fanning,star
tt1587310,Sharlto Copley,star
tt1298650,Rob Marshall,director
tt1298650,Ted Elliott,writer
tt1298650,Terry Rossio,writer
tt1298650,Johnny Depp,star
tt1298650,Penélope Cruz,star
tt1298650,Ian McShane,star
tt1905041,Justin Lin,director
tt1905041,Chris Morgan,writer
tt1905041,Gary Scott Thompson,writer
tt1905041,Vin Diesel,star
tt1905041,Paul Walker,star
tt1905041,Dwayne Johnson,star
tt0892791,Mike Mitchell,director
tt0892791,William Steig,writer
tt0892791,Josh Klausner,writer
tt0892791,Mike Myers,star
tt0892791,Cameron Diaz,star
tt0892791,Eddie Murphy,star
tt1217209,Mark Andrews,director
tt1217209,Brenda Chapman,director
tt1217209,Brenda Chapman,writer
tt1217209,Mark Andrews,writer
tt1217209,Kelly Macdonald,star
tt1217209,Billy Connolly,star
